transcript_id,sprot_Top_BLASTX_hit,RNAMMER,prot_id,prot_coords,sprot_Top_BLASTP_hit,Pfam,SignalP,TmHMM,eggnog,Kegg,gene_ontology_blast,gene_ontology_pfam
NODE_14016_length_1527_cov_1.15217_g9817_i0,"YC91_CAEEL^YC91_CAEEL^Q:1373-93,H:146-574^36.195%ID^E:4.64e-86^RecName: Full=Uncharacterized MFS-type transporter C09D4.1;^Eukaryota; Metazoa; Ecdysozoa; Nematoda; Chromadorea; Rhabditida; Rhabditina; Rhabditomorpha; Rhabditoidea; Rhabditidae; Peloderinae; Caenorhabditis",.,NODE_14016_length_1527_cov_1.15217_g9817_i0.p1,72-1526[-],"YC91_CAEEL^YC91_CAEEL^Q:52-478,H:146-574^36.195%ID^E:6.25e-87^RecName: Full=Uncharacterized MFS-type transporter C09D4.1;^Eukaryota; Metazoa; Ecdysozoa; Nematoda; Chromadorea; Rhabditida; Rhabditina; Rhabditomorpha; Rhabditoidea; Rhabditidae; Peloderinae; Caenorhabditis",PF00083.24^Sugar_tr^Sugar (and other) transporter^42-234^E:7.1e-07`PF07690.16^MFS_1^Major Facilitator Superfamily^70-422^E:5.2e-27`PF13347.6^MFS_2^MFS/sugar transport protein^186-400^E:2.9e-08,.,ExpAA=259.05^PredHel=12^Topology=i59-81o96-118i125-147o157-179i191-213o223-245i284-306o316-338i345-367o372-394i407-426o436-457i,ENOG410XSTK^Feline leukemia virus subgroup C cellular receptor,KEGG:cel:CELE_C09D4.1`KO:K08220,GO:0016021^cellular_component^integral component of membrane`GO:0020037^molecular_function^heme binding`GO:0015232^molecular_function^heme transporter activity`GO:0097037^biological_process^heme export,GO:0022857^molecular_function^transmembrane transporter activity`GO:0055085^biological_process^transmembrane transport`GO:0016021^cellular_component^integral component of membrane
NODE_14073_length_1520_cov_28.0621_g9857_i0,.,.,.,.,.,.,.,.,.,.,.,.
NODE_141_length_7655_cov_10.1729_g93_i0,"PDI1_SCHPO^PDI1_SCHPO^Q:5917-4730,H:19-434^22.014%ID^E:1.08e-07^RecName: Full=Putative protein disulfide-isomerase C1F5.02;^Eukaryota; Fungi; Dikarya; Ascomycota; Taphrinomycotina; Schizosaccharomycetes; Schizosaccharomycetales; Schizosaccharomycetaceae; Schizosaccharomyces",.,NODE_141_length_7655_cov_10.1729_g93_i0.p1,2261-6439[-],"PDI1_SCHPO^PDI1_SCHPO^Q:177-580,H:21-447^22.374%ID^E:1.36e-08^RecName: Full=Putative protein disulfide-isomerase C1F5.02;^Eukaryota; Fungi; Dikarya; Ascomycota; Taphrinomycotina; Schizosaccharomycetes; Schizosaccharomycetales; Schizosaccharomycetaceae; Schizosaccharomyces`PDI1_SCHPO^PDI1_SCHPO^Q:600-812,H:24-215^24.324%ID^E:6.56e-06^RecName: Full=Putative protein disulfide-isomerase C1F5.02;^Eukaryota; Fungi; Dikarya; Ascomycota; Taphrinomycotina; Schizosaccharomycetes; Schizosaccharomycetales; Schizosaccharomycetaceae; Schizosaccharomyces",.,.,.,.,KEGG:spo:SPAC1F5.02`KO:K09580,GO:0005783^cellular_component^endoplasmic reticulum`GO:0005788^cellular_component^endoplasmic reticulum lumen`GO:0003756^molecular_function^protein disulfide isomerase activity`GO:0015035^molecular_function^protein disulfide oxidoreductase activity`GO:0045454^biological_process^cell redox homeostasis`GO:0006457^biological_process^protein folding`GO:0034975^biological_process^protein folding in endoplasmic reticulum`GO:0034976^biological_process^response to endoplasmic reticulum stress,.
NODE_14227_length_1504_cov_7.12422_g9967_i0,"GR64F_DROME^GR64F_DROME^Q:143-334,H:388-452^40%ID^E:1.34e-06^RecName: Full=Gustatory receptor for sugar taste 64f;^Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Holometabola; Diptera; Brachycera; Muscomorpha; Ephydroidea; Drosophilidae; Drosophila; Sophophora",.,NODE_14227_length_1504_cov_7.12422_g9967_i0.p1,2-403[+],"GR64E_DROME^GR64E_DROME^Q:24-111,H:349-437^39.326%ID^E:2.13e-13^RecName: Full=Gustatory receptor for sugar taste 64e;^Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Holometabola; Diptera; Brachycera; Muscomorpha; Ephydroidea; Drosophilidae; Drosophila; Sophophora",PF06151.13^Trehalose_recp^Trehalose receptor^20-118^E:3.5e-23,.,ExpAA=43.78^PredHel=2^Topology=o25-47i95-114o,ENOG4111FN9^role in the gustatory response (By similarity),KEGG:dme:Dmel_CG32258`KO:K08471,GO:0016021^cellular_component^integral component of membrane`GO:0005886^cellular_component^plasma membrane`GO:0033041^molecular_function^sweet taste receptor activity`GO:0050916^biological_process^sensory perception of sweet taste`GO:0007165^biological_process^signal transduction,GO:0008527^molecular_function^taste receptor activity`GO:0050912^biological_process^detection of chemical stimulus involved in sensory perception of taste`GO:0016021^cellular_component^integral component of membrane
NODE_14235_length_1503_cov_20.2452_g9975_i0,.,.,NODE_14235_length_1503_cov_20.2452_g9975_i0.p1,92-1501[-],"CHST3_TETCF^CHST3_TETCF^Q:191-461,H:80-416^24.079%ID^E:5.33e-11^RecName: Full=Carbohydrate sulfotransferase 3;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Chondrichthyes; Elasmobranchii; Batoidea; Torpediniformes; Torpedinidae; Tetronarce",PF00685.27^Sulfotransfer_1^Sulfotransferase domain^207-458^E:9.9e-12`PF13469.6^Sulfotransfer_3^Sulfotransferase family^308-389^E:2e-08,.,ExpAA=21.25^PredHel=1^Topology=i42-61o,.,.,GO:0000139^cellular_component^Golgi membrane`GO:0016021^cellular_component^integral component of membrane`GO:0008459^molecular_function^chondroitin 6-sulfotransferase activity`GO:0005975^biological_process^carbohydrate metabolic process,GO:0008146^molecular_function^sulfotransferase activity
NODE_14311_length_1497_cov_4.3724_g10041_i0,.,.,.,.,.,.,.,.,.,.,.,.
NODE_1434_length_4446_cov_3.97814_g987_i0,.,.,NODE_1434_length_4446_cov_3.97814_g987_i0.p1,322-4446[-],.,.,.,.,.,.,.,.
NODE_14358_length_1491_cov_10.0272_g10069_i0,.,.,.,.,.,.,.,.,.,.,.,.
NODE_14399_length_1486_cov_219.831_g10098_i0,"ACYP2_MELGA^ACYP2_MELGA^Q:1389-1117,H:13-103^46.154%ID^E:9.5e-17^RecName: Full=Acylphosphatase-2;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Archelosauria; Archosauria; Dinosauria; Saurischia; Theropoda; Coelurosauria; Aves; Neognathae; Galloanserae; Galliformes; Phasianidae; Meleagridinae; Meleagris",.,NODE_14399_length_1486_cov_219.831_g10098_i0.p1,1114-1485[-],"ACYP2_MELGA^ACYP2_MELGA^Q:33-123,H:13-103^46.154%ID^E:1.93e-25^RecName: Full=Acylphosphatase-2;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Archelosauria; Archosauria; Dinosauria; Saurischia; Theropoda; Coelurosauria; Aves; Neognathae; Galloanserae; Galliformes; Phasianidae; Meleagridinae; Meleagris",PF00708.18^Acylphosphatase^Acylphosphatase^34-121^E:7.1e-19,.,.,.,.,GO:0003998^molecular_function^acylphosphatase activity,.
NODE_1452_length_4432_cov_50.5894_g922_i1,.,.,.,.,.,.,.,.,.,.,.,.
NODE_14526_length_1475_cov_21.2155_g10190_i0,"CBPA4_HUMAN^CBPA4_HUMAN^Q:97-1275,H:14-410^37.157%ID^E:4.17e-83^RecName: Full=Carboxypeptidase A4;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Primates; Haplorrhini; Catarrhini; Hominidae; Homo",.,NODE_14526_length_1475_cov_21.2155_g10190_i0.p1,49-1299[+],"CBPA4_HUMAN^CBPA4_HUMAN^Q:7-409,H:4-410^36.496%ID^E:3.96e-84^RecName: Full=Carboxypeptidase A4;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Primates; Haplorrhini; Catarrhini; Hominidae; Homo",PF02244.16^Propep_M14^Carboxypeptidase activation peptide^49-104^E:6.4e-07`PF00246.24^Peptidase_M14^Zinc carboxypeptidase^130-406^E:3.4e-76,sigP:1^19^0.804^YES,.,COG2866^metallocarboxypeptidase activity,KEGG:hsa:51200`KO:K08637,GO:0005615^cellular_component^extracellular space`GO:0004181^molecular_function^metallocarboxypeptidase activity`GO:0008270^molecular_function^zinc ion binding`GO:0016573^biological_process^histone acetylation`GO:0006508^biological_process^proteolysis,GO:0004180^molecular_function^carboxypeptidase activity`GO:0006508^biological_process^proteolysis`GO:0004181^molecular_function^metallocarboxypeptidase activity`GO:0008270^molecular_function^zinc ion binding
NODE_14638_length_1464_cov_0.249823_g10269_i0,.,.,.,.,.,.,.,.,.,.,.,.
NODE_14649_length_1462_cov_21.2146_g10275_i0,"TPRGL_HUMAN^TPRGL_HUMAN^Q:521-808,H:63-158^46.875%ID^E:3.05e-20^RecName: Full=Tumor protein p63-regulated gene 1-like protein {ECO:0000305};^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Primates; Haplorrhini; Catarrhini; Hominidae; Homo`TPRGL_HUMAN^TPRGL_HUMAN^Q:1028-1372,H:158-272^30%ID^E:3.92e-13^RecName: Full=Tumor protein p63-regulated gene 1-like protein {ECO:0000305};^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Primates; Haplorrhini; Catarrhini; Hominidae; Homo",.,NODE_14649_length_1462_cov_21.2146_g10275_i0.p1,488-1375[+],"TPRGL_HUMAN^TPRGL_HUMAN^Q:12-107,H:63-158^46.875%ID^E:2.64e-21^RecName: Full=Tumor protein p63-regulated gene 1-like protein {ECO:0000305};^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Primates; Haplorrhini; Catarrhini; Hominidae; Homo`TPRGL_HUMAN^TPRGL_HUMAN^Q:181-295,H:158-272^30%ID^E:9.17e-14^RecName: Full=Tumor protein p63-regulated gene 1-like protein {ECO:0000305};^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Primates; Haplorrhini; Catarrhini; Hominidae; Homo",PF12456.8^hSac2^Inositol phosphatase^16-104^E:2.8e-17,.,.,ENOG4110AQ3^Tumor protein p63 regulated,KEGG:hsa:127262,"GO:0044305^cellular_component^calyx of Held`GO:0030054^cellular_component^cell junction`GO:0005737^cellular_component^cytoplasm`GO:0070062^cellular_component^extracellular exosome`GO:0008021^cellular_component^synaptic vesicle`GO:0030672^cellular_component^synaptic vesicle membrane`GO:0042802^molecular_function^identical protein binding`GO:0051966^biological_process^regulation of synaptic transmission, glutamatergic",.
NODE_14669_length_1460_cov_23.6783_g8266_i3,.,.,NODE_14669_length_1460_cov_23.6783_g8266_i3.p1,547-858[-],.,.,.,.,.,.,.,.
NODE_14714_length_1457_cov_9.06419_g10320_i0,.,.,.,.,.,.,.,.,.,.,.,.
NODE_14780_length_1449_cov_155.304_g10368_i0,.,.,.,.,.,.,.,.,.,.,.,.
NODE_14840_length_1443_cov_5.32349_g10411_i0,.,.,.,.,.,.,.,.,.,.,.,.
NODE_14856_length_1441_cov_8.83983_g10423_i0,.,.,.,.,.,.,.,.,.,.,.,.
NODE_15030_length_1424_cov_0.202337_g10562_i0,"CTRB_BOVIN^CTRB_BOVIN^Q:598-1290,H:14-241^36.596%ID^E:1.2e-35^RecName: Full=Chymotrypsinogen B;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Laurasiatheria; Cetartiodactyla; Ruminantia; Pecora; Bovidae; Bovinae; Bos",.,NODE_15030_length_1424_cov_0.202337_g10562_i0.p1,1-1317[+],"TMPS9_RAT^TMPS9_RAT^Q:136-427,H:755-1055^33.762%ID^E:4.2e-36^RecName: Full=Transmembrane protease serine 9;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Muridae; Murinae; Rattus`TMPS9_RAT^TMPS9_RAT^Q:191-427,H:191-433^32.271%ID^E:4.63e-28^RecName: Full=Transmembrane protease serine 9;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Muridae; Murinae; Rattus`TMPS9_RAT^TMPS9_RAT^Q:147-427,H:437-733^30.492%ID^E:1.05e-27^RecName: Full=Transmembrane protease serine 9;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Muridae; Murinae; Rattus",PF00089.26^Trypsin^Trypsin^202-427^E:1.1e-53,sigP:1^29^0.658^YES,.,COG5640^protease,KEGG:rno:314636`KO:K09640,GO:0005887^cellular_component^integral component of plasma membrane`GO:0004252^molecular_function^serine-type endopeptidase activity,GO:0004252^molecular_function^serine-type endopeptidase activity`GO:0006508^biological_process^proteolysis
NODE_1504_length_4378_cov_3.01666_g1035_i0,.,.,.,.,.,.,.,.,.,.,.,.
NODE_15089_length_1417_cov_23.8297_g10606_i0,.,.,.,.,.,.,.,.,.,.,.,.
NODE_15166_length_1411_cov_1.26844_g5735_i1,.,.,NODE_15166_length_1411_cov_1.26844_g5735_i1.p1,160-1410[-],.,PF02958.20^EcKinase^Ecdysteroid kinase^37-324^E:1.1e-64`PF01636.23^APH^Phosphotransferase enzyme family^110-314^E:4.3e-11`PF07914.11^DUF1679^Protein of unknown function (DUF1679)^247-353^E:1.2e-11,.,.,.,.,.,.
NODE_15169_length_1410_cov_139.65_g10663_i0,.,.,.,.,.,.,.,.,.,.,.,.
NODE_15183_length_1409_cov_1.96381_g10671_i0,.,.,.,.,.,.,.,.,.,.,.,.
NODE_15210_length_1406_cov_14.641_g10690_i0,.,.,NODE_15210_length_1406_cov_14.641_g10690_i0.p1,1080-1406[+],.,.,.,.,.,.,.,.
NODE_15265_length_1401_cov_18.6984_g10729_i0,"CBPB_ASTAS^CBPB_ASTAS^Q:951-55,H:2-298^42.157%ID^E:2.99e-80^RecName: Full=Carboxypeptidase B;^Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Crustacea; Multicrustacea; Malacostraca; Eumalacostraca; Eucarida; Decapoda; Pleocyemata; Astacidea; Astacoidea; Astacidae; Astacus",.,NODE_15265_length_1401_cov_18.6984_g10729_i0.p1,28-1338[-],"CBPB_ASTAS^CBPB_ASTAS^Q:130-428,H:2-298^42.157%ID^E:9.46e-81^RecName: Full=Carboxypeptidase B;^Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Crustacea; Multicrustacea; Malacostraca; Eumalacostraca; Eucarida; Decapoda; Pleocyemata; Astacidea; Astacoidea; Astacidae; Astacus",PF02244.16^Propep_M14^Carboxypeptidase activation peptide^40-105^E:1.8e-09`PF00246.24^Peptidase_M14^Zinc carboxypeptidase^140-419^E:2e-77,sigP:1^26^0.752^YES,ExpAA=16.22^PredHel=1^Topology=i7-26o,.,.,GO:0005576^cellular_component^extracellular region`GO:0004181^molecular_function^metallocarboxypeptidase activity`GO:0008270^molecular_function^zinc ion binding,GO:0004180^molecular_function^carboxypeptidase activity`GO:0006508^biological_process^proteolysis`GO:0004181^molecular_function^metallocarboxypeptidase activity`GO:0008270^molecular_function^zinc ion binding
NODE_15334_length_1394_cov_90.354_g4179_i2,.,.,NODE_15334_length_1394_cov_90.354_g4179_i2.p1,105-1034[+],.,.,.,ExpAA=21.63^PredHel=1^Topology=i16-38o,.,.,.,.
NODE_15344_length_1393_cov_331.868_g10777_i0,.,.,NODE_15344_length_1393_cov_331.868_g10777_i0.p1,339-1274[-],.,.,sigP:1^17^0.934^YES,.,.,.,.,.
NODE_15380_length_1391_cov_5.93189_g10806_i0,.,.,.,.,.,.,.,.,.,.,.,.
NODE_15413_length_1387_cov_47.2635_g10834_i0,.,.,.,.,.,.,.,.,.,.,.,.
NODE_15464_length_1382_cov_5.6526_g10864_i0,.,.,.,.,.,.,.,.,.,.,.,.
NODE_15477_length_1381_cov_12.5799_g10875_i0,"ANX11_RABIT^ANX11_RABIT^Q:321-788,H:201-358^31.013%ID^E:4.33e-21^RecName: Full=Annexin A11;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Glires; Lagomorpha; Leporidae; Oryctolagus`ANX11_RABIT^ANX11_RABIT^Q:881-1201,H:391-498^25.926%ID^E:4.33e-21^RecName: Full=Annexin A11;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Glires; Lagomorpha; Leporidae; Oryctolagus",.,NODE_15477_length_1381_cov_12.5799_g10875_i0.p1,123-842[+],"ANX11_RABIT^ANX11_RABIT^Q:67-222,H:201-358^31.013%ID^E:2.71e-15^RecName: Full=Annexin A11;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Glires; Lagomorpha; Leporidae; Oryctolagus",PF00191.20^Annexin^Annexin^139-203^E:2.1e-08,sigP:1^20^0.771^YES,.,ENOG410XPUN^annexin A7,KEGG:ocu:100009511`KO:K17095,GO:0042470^cellular_component^melanosome`GO:0030496^cellular_component^midbody`GO:0005635^cellular_component^nuclear envelope`GO:0005654^cellular_component^nucleoplasm`GO:0005819^cellular_component^spindle`GO:0005509^molecular_function^calcium ion binding`GO:0005544^molecular_function^calcium-dependent phospholipid binding`GO:0044548^molecular_function^S100 protein binding`GO:0032506^biological_process^cytokinetic process,GO:0005509^molecular_function^calcium ion binding`GO:0005544^molecular_function^calcium-dependent phospholipid binding
NODE_15515_length_1378_cov_1.79819_g10901_i0,"NTRI_HUMAN^NTRI_HUMAN^Q:1114-704,H:38-170^32.609%ID^E:1.42e-23^RecName: Full=Neurotrimin;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Primates; Haplorrhini; Catarrhini; Hominidae; Homo`NTRI_HUMAN^NTRI_HUMAN^Q:608-177,H:193-325^31.25%ID^E:1.42e-23^RecName: Full=Neurotrimin;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Primates; Haplorrhini; Catarrhini; Hominidae; Homo",.,NODE_15515_length_1378_cov_1.79819_g10901_i0.p2,3-569[-],"NTRI_HUMAN^NTRI_HUMAN^Q:3-131,H:207-325^33.333%ID^E:4.38e-08^RecName: Full=Neurotrimin;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Primates; Haplorrhini; Catarrhini; Hominidae; Homo",PF13927.6^Ig_3^Immunoglobulin domain^19-102^E:1e-08`PF07679.16^I-set^Immunoglobulin I-set domain^21-113^E:6.4e-10`PF00047.25^ig^Immunoglobulin domain^33-110^E:8.7e-09,.,.,ENOG4111SM8^Neurotrimin,KEGG:hsa:50863`KO:K06774,GO:0031225^cellular_component^anchored component of membrane`GO:0005576^cellular_component^extracellular region`GO:0005886^cellular_component^plasma membrane`GO:0007155^biological_process^cell adhesion`GO:0008038^biological_process^neuron recognition,.
NODE_15530_length_1376_cov_5.40273_g10911_i0,.,.,.,.,.,.,.,.,.,.,.,.
NODE_1564_length_4318_cov_0.895848_g1081_i0,"SP42D_DROME^SP42D_DROME^Q:1155-1727,H:20-242^27.632%ID^E:2.9e-14^RecName: Full=Serine protease inhibitor 42Dd {ECO:0000303|PubMed:10692585};^Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Holometabola; Diptera; Brachycera; Muscomorpha; Ephydroidea; Drosophilidae; Drosophila; Sophophora",.,NODE_1564_length_4318_cov_0.895848_g1081_i0.p1,33-3074[+],"SP42D_DROME^SP42D_DROME^Q:375-627,H:20-299^25.172%ID^E:7.19e-16^RecName: Full=Serine protease inhibitor 42Dd {ECO:0000303|PubMed:10692585};^Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Holometabola; Diptera; Brachycera; Muscomorpha; Ephydroidea; Drosophilidae; Drosophila; Sophophora",PF00079.20^Serpin^Serpin (serine protease inhibitor)^444-627^E:8.2e-36,sigP:1^23^0.8^YES,.,COG4826^serine-type endopeptidase inhibitor activity,KEGG:dme:Dmel_CG9456`KO:K13963,GO:0005615^cellular_component^extracellular space`GO:0004867^molecular_function^serine-type endopeptidase inhibitor activity`GO:0002376^biological_process^immune system process`GO:0032504^biological_process^multicellular organism reproduction`GO:1905035^biological_process^negative regulation of antifungal innate immune response`GO:0002785^biological_process^negative regulation of antimicrobial peptide production`GO:0010951^biological_process^negative regulation of endopeptidase activity`GO:0045861^biological_process^negative regulation of proteolysis`GO:0045751^biological_process^negative regulation of Toll signaling pathway,.
NODE_15689_length_1359_cov_31.059_g11033_i0,"FA9_CANLF^FA9_CANLF^Q:821-105,H:216-452^36.842%ID^E:1.92e-41^RecName: Full=Coagulation factor IX;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Laurasiatheria; Carnivora; Caniformia; Canidae; Canis",.,NODE_15689_length_1359_cov_31.059_g11033_i0.p1,87-1358[-],"FA9_CANLF^FA9_CANLF^Q:180-418,H:216-452^36.842%ID^E:3.38e-42^RecName: Full=Coagulation factor IX;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Laurasiatheria; Carnivora; Caniformia; Canidae; Canis",PF00089.26^Trypsin^Trypsin^182-411^E:8e-51,sigP:1^18^0.56^YES,ExpAA=21.19^PredHel=1^Topology=i13-35o,COG5640^protease,KEGG:cfa:404015`KO:K01321,GO:0005615^cellular_component^extracellular space`GO:0005509^molecular_function^calcium ion binding`GO:0004175^molecular_function^endopeptidase activity`GO:0004252^molecular_function^serine-type endopeptidase activity`GO:0007596^biological_process^blood coagulation`GO:0006508^biological_process^proteolysis`GO:0031638^biological_process^zymogen activation,GO:0004252^molecular_function^serine-type endopeptidase activity`GO:0006508^biological_process^proteolysis
NODE_15743_length_1354_cov_2.3649_g11068_i0,"HS3S1_MOUSE^HS3S1_MOUSE^Q:1043-276,H:52-310^37.165%ID^E:2.43e-48^RecName: Full=Heparan sulfate glucosamine 3-O-sulfotransferase 1;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Muridae; Murinae; Mus; Mus",.,NODE_15743_length_1354_cov_2.3649_g11068_i0.p1,261-1190[-],"HS3S1_MOUSE^HS3S1_MOUSE^Q:50-305,H:52-310^37.165%ID^E:4.29e-50^RecName: Full=Heparan sulfate glucosamine 3-O-sulfotransferase 1;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Muridae; Murinae; Mus; Mus",PF00685.27^Sulfotransfer_1^Sulfotransferase domain^57-294^E:3.3e-26`PF13469.6^Sulfotransfer_3^Sulfotransferase family^103-236^E:2.3e-11,.,.,ENOG410XS59^Heparan sulfate glucosamine 3-O-sulfotransferase,KEGG:mmu:15476`KO:K01024,GO:0005796^cellular_component^Golgi lumen`GO:0008467^molecular_function^[heparan sulfate]-glucosamine 3-sulfotransferase 1 activity`GO:0034483^molecular_function^heparan sulfate sulfotransferase activity`GO:0015012^biological_process^heparan sulfate proteoglycan biosynthetic process,GO:0008146^molecular_function^sulfotransferase activity
NODE_15797_length_1349_cov_6.29212_g11109_i0,.,.,.,.,.,.,.,.,.,.,.,.
NODE_15800_length_1349_cov_0.604328_g11112_i0,.,.,.,.,.,.,.,.,.,.,.,.
NODE_15856_length_1343_cov_10.9495_g11151_i0,"ASPM_PONPY^ASPM_PONPY^Q:864-346,H:677-852^36.022%ID^E:2.36e-40^RecName: Full=Abnormal spindle-like microcephaly-associated protein homolog;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Primates; Haplorrhini; Catarrhini; Hominidae; Pongo`ASPM_PONPY^ASPM_PONPY^Q:338-66,H:855-945^48.352%ID^E:2.36e-40^RecName: Full=Abnormal spindle-like microcephaly-associated protein homolog;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Primates; Haplorrhini; Catarrhini; Hominidae; Pongo",.,NODE_15856_length_1343_cov_10.9495_g11151_i0.p2,1019-1342[+],.,.,.,.,.,.,.,.
NODE_16007_length_1330_cov_2.05725_g11257_i0,"CY561_PIG^CY561_PIG^Q:1233-529,H:6-236^40.851%ID^E:4.36e-52^RecName: Full=Cytochrome b561;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Laurasiatheria; Cetartiodactyla; Suina; Suidae; Sus",.,NODE_16007_length_1330_cov_2.05725_g11257_i0.p1,508-1239[-],"CY561_PIG^CY561_PIG^Q:3-237,H:6-236^40.851%ID^E:9.14e-55^RecName: Full=Cytochrome b561;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Laurasiatheria; Cetartiodactyla; Suina; Suidae; Sus",PF03188.16^Cytochrom_B561^Eukaryotic cytochrome b561^52-187^E:1.8e-41,.,ExpAA=134.56^PredHel=6^Topology=i13-35o50-72i85-105o125-147i160-182o197-219i,ENOG4111FKI^Cytochrome,KEGG:ssc:100048996`KO:K08360,GO:0016021^cellular_component^integral component of membrane`GO:0005765^cellular_component^lysosomal membrane`GO:0030658^cellular_component^transport vesicle membrane`GO:0000293^molecular_function^ferric-chelate reductase activity`GO:0046872^molecular_function^metal ion binding`GO:0016491^molecular_function^oxidoreductase activity`GO:0022900^biological_process^electron transport chain,.
NODE_16104_length_1320_cov_1038.27_g11340_i0,"RL19_DROME^RL19_DROME^Q:628-38,H:1-197^75.127%ID^E:3.87e-71^RecName: Full=60S ribosomal protein L19;^Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Holometabola; Diptera; Brachycera; Muscomorpha; Ephydroidea; Drosophilidae; Drosophila; Sophophora",.,NODE_16104_length_1320_cov_1038.27_g11340_i0.p1,35-628[-],"RL19_DROME^RL19_DROME^Q:1-197,H:1-197^75.127%ID^E:3.6e-100^RecName: Full=60S ribosomal protein L19;^Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Holometabola; Diptera; Brachycera; Muscomorpha; Ephydroidea; Drosophilidae; Drosophila; Sophophora",PF01280.20^Ribosomal_L19e^Ribosomal protein L19e^3-146^E:1.3e-64,.,.,COG2147^ribosomal protein L19,KEGG:dme:Dmel_CG2746`KO:K02885,GO:0022625^cellular_component^cytosolic large ribosomal subunit`GO:0022626^cellular_component^cytosolic ribosome`GO:0003723^molecular_function^RNA binding`GO:0003735^molecular_function^structural constituent of ribosome`GO:0002181^biological_process^cytoplasmic translation,GO:0003735^molecular_function^structural constituent of ribosome`GO:0006412^biological_process^translation`GO:0005622^cellular_component^intracellular`GO:0005840^cellular_component^ribosome
NODE_16130_length_1319_cov_0.962025_g11358_i0,.,.,.,.,.,.,.,.,.,.,.,.
